#Coverage	Number of genomic locations
0.0	7574.0
1.0	803.0
2.0	2067.0
3.0	181.0
4.0	1680.0
5.0	134.0
6.0	1069.0
7.0	412.0
8.0	642.0
9.0	352.0
10.0	1197.0
11.0	615.0
12.0	1129.0
13.0	487.0
14.0	791.0
15.0	348.0
16.0	1214.0
17.0	274.0
18.0	966.0
19.0	369.0
20.0	735.0
21.0	529.0
22.0	1499.0
23.0	493.0
24.0	563.0
25.0	421.0
26.0	814.0
27.0	304.0
28.0	1260.0
29.0	420.0
30.0	852.0
31.0	235.0
32.0	1257.0
33.0	379.0
34.0	422.0
35.0	445.0
36.0	534.0
37.0	602.0
38.0	791.0
39.0	373.0
40.0	997.0
41.0	433.0
42.0	835.0
43.0	466.0
44.0	600.0
45.0	327.0
46.0	560.0
47.0	283.0
48.0	344.0
49.0	229.0
50.0	531.0
51.0	394.0
52.0	734.0
53.0	621.0
54.0	603.0
55.0	536.0
56.0	1124.0
57.0	413.0
58.0	835.0
59.0	456.0
60.0	421.0
61.0	133.0
62.0	634.0
63.0	483.0
64.0	726.0
65.0	439.0
66.0	660.0
67.0	843.0
68.0	299.0
69.0	362.0
70.0	417.0
71.0	316.0
72.0	579.0
73.0	573.0
74.0	699.0
75.0	206.0
76.0	545.0
77.0	208.0
78.0	602.0
79.0	445.0
80.0	354.0
81.0	417.0
82.0	278.0
83.0	318.0
84.0	103.0
85.0	219.0
86.0	218.0
87.0	328.0
88.0	471.0
89.0	167.0
90.0	232.0
91.0	291.0
92.0	367.0
93.0	216.0
94.0	304.0
95.0	265.0
96.0	479.0
97.0	215.0
98.0	109.0
99.0	155.0
100.0	223.0
101.0	344.0
102.0	177.0
103.0	395.0
104.0	411.0
105.0	633.0
106.0	259.0
107.0	160.0
108.0	335.0
109.0	244.0
110.0	266.0
111.0	234.0
112.0	338.0
113.0	244.0
114.0	270.0
115.0	239.0
116.0	387.0
117.0	391.0
118.0	406.0
119.0	135.0
120.0	250.0
121.0	105.0
122.0	277.0
123.0	245.0
124.0	475.0
125.0	165.0
126.0	112.0
127.0	238.0
128.0	238.0
129.0	467.0
130.0	195.0
131.0	141.0
132.0	207.0
133.0	304.0
134.0	412.0
135.0	203.0
136.0	236.0
137.0	219.0
138.0	122.0
139.0	99.0
140.0	148.0
141.0	134.0
142.0	142.0
143.0	285.0
144.0	167.0
145.0	185.0
146.0	289.0
147.0	128.0
148.0	240.0
149.0	180.0
150.0	231.0
151.0	232.0
152.0	160.0
153.0	179.0
154.0	154.0
155.0	115.0
156.0	231.0
157.0	206.0
158.0	94.0
159.0	164.0
160.0	124.0
161.0	155.0
162.0	98.0
163.0	171.0
164.0	111.0
165.0	224.0
166.0	227.0
167.0	229.0
168.0	197.0
169.0	262.0
170.0	249.0
171.0	101.0
172.0	124.0
173.0	146.0
174.0	137.0
175.0	115.0
176.0	176.0
177.0	248.0
178.0	64.0
179.0	54.0
180.0	88.0
181.0	93.0
182.0	207.0
183.0	109.0
184.0	211.0
185.0	145.0
186.0	331.0
187.0	177.0
188.0	109.0
189.0	65.0
190.0	141.0
191.0	116.0
192.0	112.0
193.0	195.0
194.0	146.0
195.0	49.0
196.0	27.0
197.0	98.0
198.0	105.0
199.0	83.0
200.0	185.0
201.0	190.0
202.0	107.0
203.0	180.0
204.0	143.0
205.0	74.0
206.0	154.0
207.0	49.0
208.0	90.0
209.0	49.0
210.0	87.0
211.0	74.0
212.0	143.0
213.0	207.0
214.0	82.0
215.0	97.0
216.0	116.0
217.0	31.0
218.0	26.0
219.0	47.0
220.0	130.0
221.0	68.0
222.0	88.0
223.0	156.0
224.0	68.0
225.0	85.0
226.0	90.0
227.0	62.0
228.0	46.0
229.0	63.0
230.0	36.0
231.0	45.0
232.0	37.0
233.0	73.0
234.0	245.0
235.0	142.0
236.0	158.0
237.0	95.0
238.0	102.0
239.0	99.0
240.0	72.0
241.0	24.0
242.0	78.0
243.0	76.0
244.0	124.0
245.0	158.0
246.0	167.0
247.0	55.0
248.0	41.0
249.0	35.0
250.0	44.0
251.0	32.0
252.0	46.0
253.0	19.0
254.0	63.0
255.0	23.0
256.0	23.0
257.0	32.0
258.0	62.0
259.0	151.0
260.0	21.0
261.0	11.0
262.0	13.0
263.0	78.0
264.0	93.0
265.0	73.0
266.0	88.0
267.0	26.0
268.0	32.0
269.0	30.0
270.0	13.0
271.0	11.0
272.0	7.0
273.0	13.0
274.0	68.0
275.0	106.0
276.0	67.0
277.0	60.0
278.0	45.0
279.0	14.0
280.0	13.0
281.0	45.0
282.0	29.0
283.0	12.0
284.0	8.0
285.0	36.0
286.0	27.0
287.0	45.0
288.0	112.0
289.0	122.0
290.0	11.0
291.0	4.0
292.0	9.0
293.0	17.0
294.0	137.0
295.0	28.0
296.0	102.0
297.0	96.0
298.0	76.0
299.0	70.0
300.0	33.0
301.0	29.0
302.0	91.0
303.0	115.0
304.0	25.0
305.0	2.0
307.0	2.0
309.0	6.0
310.0	14.0
311.0	7.0
312.0	20.0
313.0	43.0
314.0	8.0
315.0	9.0
316.0	8.0
317.0	66.0
318.0	19.0
319.0	5.0
320.0	21.0
321.0	15.0
322.0	8.0
323.0	4.0
324.0	55.0
325.0	143.0
326.0	33.0
327.0	4.0
328.0	16.0
329.0	27.0
330.0	14.0
331.0	9.0
332.0	51.0
333.0	47.0
334.0	54.0
335.0	20.0
336.0	26.0
337.0	9.0
338.0	3.0
339.0	7.0
341.0	1.0
342.0	8.0
343.0	5.0
344.0	1.0
345.0	8.0
346.0	30.0
347.0	16.0
348.0	17.0
349.0	3.0
350.0	2.0
351.0	3.0
352.0	1.0
353.0	1.0
354.0	3.0
355.0	1.0
356.0	2.0
357.0	2.0
358.0	3.0
360.0	1.0
362.0	1.0
366.0	1.0
367.0	6.0
368.0	3.0
371.0	1.0
372.0	5.0
373.0	2.0
374.0	1.0
375.0	1.0
376.0	9.0
378.0	1.0
379.0	1.0
380.0	1.0
