#Duplication rate	Coverage
1.0	4105.0
2.0	988.0
3.0	383.0
4.0	179.0
5.0	81.0
6.0	57.0
7.0	43.0
8.0	28.0
9.0	27.0
10.0	25.0
11.0	22.0
12.0	15.0
13.0	12.0
14.0	12.0
15.0	17.0
16.0	14.0
17.0	9.0
18.0	11.0
19.0	15.0
20.0	19.0
21.0	10.0
22.0	13.0
23.0	6.0
24.0	7.0
25.0	13.0
26.0	10.0
27.0	7.0
28.0	13.0
29.0	11.0
30.0	10.0
31.0	13.0
32.0	7.0
33.0	11.0
34.0	4.0
35.0	5.0
36.0	10.0
37.0	9.0
38.0	5.0
39.0	7.0
40.0	8.0
41.0	3.0
42.0	2.0
43.0	5.0
44.0	8.0
45.0	4.0
46.0	8.0
47.0	4.0
48.0	6.0
49.0	6.0
50.0	292.0
