#Insert size (bp)	insert size
118.0	1.0
124.0	1.0
127.0	1.0
139.0	1.0
165.0	1.0
173.0	1.0
178.0	1.0
179.0	1.0
180.0	1.0
189.0	2.0
190.0	1.0
195.0	2.0
196.0	2.0
203.0	1.0
205.0	2.0
207.0	1.0
210.0	1.0
217.0	1.0
218.0	1.0
222.0	1.0
223.0	5.0
224.0	22.0
225.0	2010.0
226.0	816.0
227.0	1193.0
228.0	204.0
229.0	1019.0
230.0	338.0
231.0	712.0
232.0	583.0
233.0	393.0
234.0	107.0
235.0	464.0
236.0	300.0
237.0	295.0
238.0	288.0
239.0	852.0
240.0	155.0
241.0	280.0
242.0	223.0
243.0	585.0
244.0	66.0
245.0	509.0
246.0	67.0
247.0	690.0
248.0	103.0
249.0	843.0
250.0	425.0
251.0	172.0
252.0	351.0
253.0	432.0
254.0	60.0
255.0	519.0
256.0	76.0
257.0	521.0
258.0	7.0
259.0	229.0
260.0	355.0
261.0	394.0
262.0	68.0
263.0	704.0
264.0	104.0
265.0	555.0
266.0	355.0
267.0	744.0
268.0	339.0
269.0	685.0
270.0	316.0
271.0	772.0
272.0	281.0
273.0	938.0
274.0	607.0
275.0	1389.0
276.0	8.0
501.0	1.0
503.0	3.0
504.0	2.0
507.0	2.0
517.0	9.0
523.0	4.0
524.0	2.0
525.0	8.0
527.0	7.0
528.0	5.0
529.0	2.0
531.0	3.0
533.0	6.0
534.0	3.0
