"GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.classic","Fisher.elim"
"GO:0000122","negative regulation of transcription by ...",53,10,2.16,6,"3.2e-05","3.2e-05"
"GO:0035914","skeletal muscle cell differentiation",8,3,0.33,23,"0.0031","0.0031"
"GO:0006935","chemotaxis",26,5,1.06,25,"0.0033","0.0033"
"GO:0042886","amide transport",26,5,1.06,26,"0.0033","0.0033"
"GO:0048584","positive regulation of response to stimu...",128,12,5.22,29,"0.0045","0.0045"
"GO:0045944","positive regulation of transcription by ...",83,9,3.38,34,"0.0054","0.0054"
"GO:0070372","regulation of ERK1 and ERK2 cascade",19,4,0.77,39,"0.0062","0.0062"
"GO:0042752","regulation of circadian rhythm",10,3,0.41,41,"0.0063","0.0063"
"GO:0016477","cell migration",101,10,4.12,42,"0.0065","0.0065"
"GO:0032268","regulation of cellular protein metabolic...",190,15,7.74,51,"0.0077","0.0077"
"GO:0043502","regulation of muscle adaptation",11,3,0.45,54,"0.0085","0.0085"
"GO:0007517","muscle organ development",20,6,0.81,10,"9.2e-05","0.0099"
"GO:0030032","lamellipodium assembly",12,3,0.49,58,"0.0110","0.0110"
"GO:2000145","regulation of cell motility",77,8,3.14,59,"0.0113","0.0113"
"GO:0043065","positive regulation of apoptotic process",48,6,1.96,60,"0.0117","0.0117"
"GO:0043068","positive regulation of programmed cell d...",48,6,1.96,61,"0.0117","0.0117"
"GO:0015833","peptide transport",23,4,0.94,64,"0.0125","0.0125"
"GO:0040012","regulation of locomotion",79,8,3.22,66,"0.0131","0.0131"
"GO:0006915","apoptotic process",165,13,6.72,67,"0.0135","0.0135"
"GO:0008219","cell death",184,14,7.5,71,"0.0139","0.0139"
