"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2836359"	130.79925	129.95585625	132.4016625	180.70965	117.11431625	143.68168125	154.88060625	173.4603	190.26230625	115.017581875	161.04661875	148.7124	158.3846375	165.20645625	191.9776875	119.161096875
"ILMN_2618329"	1348.860525	1418.00461875	1402.53706875	1585.203875	1616.891125	1423.25485	1625.73425	1418.00461875	1331.98633125	1470.9896875	1495.75775	1311.92510625	1325.81468125	1185.554375	1328.9357	1453.836625
"ILMN_1259621"	156.99936875	156.60838125	170.992825	182.548525	157.216325	152.90356875	126.0942125	181.0369875	173.61805	138.0079125	180.922175	146.828925	176.12585	131.7516	165.20645625	170.387425
"ILMN_2876302"	196.47584375	206.018925	158.1505875	178.14129375	197.56828125	196.7999	169.214	181.43729375	180.922175	156.38801875	180.3295625	218.7287625	200.1958	216.40799375	162.80370625	175.692725
"ILMN_2623859"	2007.6768125	2250.7824375	2325.05	2288.631	2137.9463125	2201.56525	1978.2611875	2491.2391875	2238.6796875	1974.2203125	1994.359875	2601.580625	1905.974125	1753.9889375	1994.359875	2461.6148125
"ILMN_2602396"	3592.45975	3610.6621875	3546.5745	3480.6066875	3901.5434375	3641.0309375	3463.9809375	3624.416875	3307.411375	3712.4661875	3463.9809375	3741.448875	3534.9343125	3624.416875	3572.0115	3445.8880625
"ILMN_3105205"	1086.60641875	1292.25568125	1340.43134375	1253.613975	1106.1448625	1159.0100875	1111.68751875	1294.65333125	1045.9207875	1025.50926875	1228.17379375	1262.084325	1011.060025	1032.766675	1159.0100875	960.96005
"ILMN_2805071"	8729.9628125	8212.2020625	8640.875375	9065.637	8492.1395	8098.043625	7984.2996875	9065.637	9169.2155	8285.4875	8640.875375	7935.557625	7228.3994375	8834.2650625	9169.2155	6900.494375
"ILMN_1226476"	400.818975	382.0394125	402.7885	435.835025	425.43803125	393.7152125	437.71665625	421.34460625	445.80331875	412.55158125	368.19235625	385.60209375	409.6476375	450.87916875	448.20770625	380.48959375
"ILMN_2711401"	205.81603125	189.73489375	208.614425	202.26374375	228.38930625	214.999475	203.0263	157.9106125	153.34843125	180.588125	203.7438375	185.43579375	204.95320625	156.7400875	165.765375	200.56650625
"ILMN_2625451"	15312.959375	10060.255125	18650.413125	19253.191875	17009.528125	18287.449375	8994.49525	17526.455625	13983.2231875	15811.34625	10210.935875	23320.495625	15811.34625	6210.5699375	15649.82375	17526.455625
"ILMN_1224651"	3436.421625	3436.421625	2939.1021875	2383.1305	2916.3459375	3384.2715625	3199.676125	2426.33675	2522.957375	3397.958	2827.8411875	3384.2715625	3496.7734375	3018.412625	2481.5916875	3343.45
"ILMN_2667100"	3480.6066875	3282.743375	3624.416875	3592.45975	3658.924875	3367.8920625	3074.407375	3682.3524375	3358.915875	3940.2430625	3397.958	3177.6788125	3409.3478125	3049.8525625	3682.3524375	3534.9343125
"ILMN_2591908"	192.6032125	218.7287625	241.740075	268.74179375	286.44878125	233.4838625	272.79385	278.67450625	251.30326875	257.83005	221.7632625	273.0291875	201.32313125	238.31953125	297.66561875	280.32616875
"ILMN_2798797"	2510.9436875	2864.5063125	2568.4504375	2541.381	1817.268875	2582.3805	2721.8628125	2514.93025	2364.6356875	2809.6363125	2305.095875	2809.6363125	2388.401875	2320.2016875	2189.738	2890.73225
"ILMN_2652425"	148.7124	167.0412125	165.4697625	157.83153125	171.22390625	164.552225	167.46681875	144.9504375	165.20645625	145.79421875	180.15525625	149.21289375	152.515875	150.34926875	149.64721875	180.15525625
"ILMN_2601851"	147.32380625	134.66733125	147.93004375	134.2687625	138.2094375	141.49523125	138.8329125	138.60301875	142.58573125	123.372175	154.1588625	143.50841875	144.53268125	136.52760625	145.28875625	130.45783125
"ILMN_2739195"	129.8790875	129.03165	137.3024375	114.250825	118.805108125	135.42206875	121.994118125	128.44940625	116.021529375	132.30241875	136.24591875	108.59527	136.98565	118.2936625	131.91349375	123.61475625
"ILMN_3160449"	492.318275	533.3672125	545.7415125	637.1031	507.30178125	481.47731875	478.21235625	660.82371875	545.7415125	582.72373125	605.16504375	491.08171875	518.60681875	630.68256875	643.92078125	554.6096625
"ILMN_1240515"	111.7973125	132.7850125	129.55834375	175.1317625	126.430475	120.931299375	133.14736875	153.695975	152.7839	130.53025625	139.28285	158.86419375	117.162448125	133.9557875	167.7883625	119.7339625
"ILMN_1259610"	175.692725	170.387425	183.40340625	196.47584375	163.2424375	167.7883625	163.2424375	187.40104375	208.4504625	196.22610625	177.502625	181.0369875	188.0836	169.04061875	214.63416875	217.59455
"ILMN_1249363"	4183.4475625	4315.6864375	5071.7954375	4315.6864375	3463.9809375	4363.454875	4137.6650625	4514.3431875	4082.71825	3292.12425	3610.6621875	4479.1653125	3526.0949375	3741.448875	4048.0388125	4100.9669375
"ILMN_2624622"	1183.2926625	1176.1765125	1481.7319375	1817.268875	890.8846625	1128.48683125	1140.3004	1716.46775	1392.73844375	1426.63413125	1569.421	1142.3346125	1215.46968125	1395.78575	1799.4763125	1197.1950625
"ILMN_2593208"	4799.889	5284.0041875	5100.66625	5559.051625	6015.1349375	4834.3839375	4880.49925	5458.565	5791.554125	4855.10025	4667.497625	4577.5029375	4642.1986875	4964.116125	5284.0041875	4530.4624375
"ILMN_1217055"	505.60308125	459.588925	479.6173875	559.57819375	469.928175	562.62983125	480.9888125	541.213475	549.2649875	547.767775	554.6096625	515.00791875	539.54431875	557.51616875	518.60681875	518.60681875
"ILMN_1245467"	1895.11975	1753.9889375	1901.7284375	1808.6184375	1937.256125	1790.375375	1767.103375	1964.982125	1859.51175	1914.436125	1723.53475	1556.765375	1553.0540625	1625.73425	1658.9980625	1873.4655625
"ILMN_2764036"	148.93023125	123.0109875	95.219489375	87.64183875	92.839491875	119.53205625	118.544265	95.8401	91.01659375	89.02602875	131.15114375	100.59616	105.931525	143.20033125	90.756314375	94.01837
"ILMN_2620799"	155.68575625	181.98435	163.95495625	190.51620625	148.21475	171.83655	142.114375	186.44199375	194.98645	175.692725	176.99835	180.70965	199.52053125	137.88758125	178.96955	169.78939375
"ILMN_2782446"	161.26354375	158.3846375	169.4552375	180.588125	125.31658125	171.64175	169.65194375	164.74565625	198.986275	167.0412125	173.04038125	179.20448125	161.04661875	170.2017375	186.44199375	160.77475625
"ILMN_2666607"	150.78871875	120.079114375	146.35961875	125.7289875	143.68168125	135.71329375	160.23875	138.9548125	123.61475625	126.0942125	127.68379375	134.66733125	148.93023125	149.79191875	130.59743125	127.28783125
