	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_1259621	156.99936875	156.60838125	170.992825	182.548525	157.216325	152.90356875	126.0942125	181.0369875	173.61805	138.0079125	180.922175	146.828925	176.12585	131.7516	165.20645625	170.387425
ILMN_2876302	196.47584375	206.018925	158.1505875	178.14129375	197.56828125	196.7999	169.214	181.43729375	180.922175	156.38801875	180.3295625	218.7287625	200.1958	216.40799375	162.80370625	175.692725
ILMN_2805071	8729.9628125	8212.2020625	8640.875375	9065.637	8492.1395	8098.043625	7984.2996875	9065.637	9169.2155	8285.4875	8640.875375	7935.557625	7228.3994375	8834.2650625	9169.2155	6900.494375
ILMN_2625451	15312.959375	10060.255125	18650.413125	19253.191875	17009.528125	18287.449375	8994.49525	17526.455625	13983.2231875	15811.34625	10210.935875	23320.495625	15811.34625	6210.5699375	15649.82375	17526.455625
ILMN_1224651	3436.421625	3436.421625	2939.1021875	2383.1305	2916.3459375	3384.2715625	3199.676125	2426.33675	2522.957375	3397.958	2827.8411875	3384.2715625	3496.7734375	3018.412625	2481.5916875	3343.45
ILMN_2667100	3480.6066875	3282.743375	3624.416875	3592.45975	3658.924875	3367.8920625	3074.407375	3682.3524375	3358.915875	3940.2430625	3397.958	3177.6788125	3409.3478125	3049.8525625	3682.3524375	3534.9343125
ILMN_2591908	192.6032125	218.7287625	241.740075	268.74179375	286.44878125	233.4838625	272.79385	278.67450625	251.30326875	257.83005	221.7632625	273.0291875	201.32313125	238.31953125	297.66561875	280.32616875
ILMN_3160449	492.318275	533.3672125	545.7415125	637.1031	507.30178125	481.47731875	478.21235625	660.82371875	545.7415125	582.72373125	605.16504375	491.08171875	518.60681875	630.68256875	643.92078125	554.6096625
ILMN_1240515	111.7973125	132.7850125	129.55834375	175.1317625	126.430475	120.931299375	133.14736875	153.695975	152.7839	130.53025625	139.28285	158.86419375	117.162448125	133.9557875	167.7883625	119.7339625
ILMN_1259610	175.692725	170.387425	183.40340625	196.47584375	163.2424375	167.7883625	163.2424375	187.40104375	208.4504625	196.22610625	177.502625	181.0369875	188.0836	169.04061875	214.63416875	217.59455
ILMN_2624622	1183.2926625	1176.1765125	1481.7319375	1817.268875	890.8846625	1128.48683125	1140.3004	1716.46775	1392.73844375	1426.63413125	1569.421	1142.3346125	1215.46968125	1395.78575	1799.4763125	1197.1950625
ILMN_2593208	4799.889	5284.0041875	5100.66625	5559.051625	6015.1349375	4834.3839375	4880.49925	5458.565	5791.554125	4855.10025	4667.497625	4577.5029375	4642.1986875	4964.116125	5284.0041875	4530.4624375
ILMN_1245467	1895.11975	1753.9889375	1901.7284375	1808.6184375	1937.256125	1790.375375	1767.103375	1964.982125	1859.51175	1914.436125	1723.53475	1556.765375	1553.0540625	1625.73425	1658.9980625	1873.4655625
ILMN_2764036	148.93023125	123.0109875	95.219489375	87.64183875	92.839491875	119.53205625	118.544265	95.8401	91.01659375	89.02602875	131.15114375	100.59616	105.931525	143.20033125	90.756314375	94.01837
ILMN_2782446	161.26354375	158.3846375	169.4552375	180.588125	125.31658125	171.64175	169.65194375	164.74565625	198.986275	167.0412125	173.04038125	179.20448125	161.04661875	170.2017375	186.44199375	160.77475625
ILMN_2719322	108.59527	102.638103125	129.8790875	145.674675	149.1243125	106.242820625	110.1219775	145.1658125	131.57471875	131.66101875	120.867783125	124.55214375	115.906464375	100.884936875	130.90685	133.2308125
ILMN_2901363	161.43203125	169.78939375	152.1062	175.28598125	129.95585625	169.4552375	197.2252125	158.3846375	145.3389	150.64725625	178.6904875	158.6875	189.73489375	158.6875	170.2017375	128.020125
ILMN_1258578	1351.2752375	1253.613975	1577.917625	1485.9148125	1808.6184375	1529.5255625	1262.084325	1481.7319375	1478.5996875	1793.433875	1395.78575	1459.97975	1429.7836125	1290.79334375	1716.46775	1532.028875
ILMN_1238733	778.8566	799.0163375	1047.83524375	765.3852875	1205.7586875	860.29973125	768.13921875	876.168925	801.81858125	1032.766675	799.0163375	919.02419375	788.81949375	821.9814125	908.8836125	908.8836125
ILMN_1212648	564.21346875	504.2750375	495.60464375	374.74366875	554.6096625	539.54431875	527.07400625	384.34065	345.38940625	541.213475	349.2293625	538.40756875	546.67505625	351.55851875	354.61660625	569.2850875
ILMN_2897214	6332.6618125	6096.572375	5458.565	4774.159	6096.572375	6578.41025	7332.76175	4363.454875	4880.49925	4880.49925	6753.8141875	6383.8138125	7144.64825	6753.8141875	5100.66625	5762.73775
ILMN_2715153	109.976179375	122.195053125	120.51551125	103.879939375	143.8182375	116.917326875	91.372396875	106.984139375	112.680161875	121.17253375	122.195053125	117.65351375	116.75566875	98.76970625	108.159053125	130.6918125
ILMN_1212938	283.540325	224.07854375	228.38930625	325.79024375	264.24041875	298.81056875	241.2465625	285.79318125	320.69589375	264.24041875	275.47909375	277.15685625	285.79318125	216.99501875	267.27683125	304.96008125
ILMN_2734060	6015.1349375	5720.023125	5859.1675625	5458.565	4315.6864375	5316.6859375	6292.2961875	4680.85275	5207.3271875	5017.492875	6332.6618125	6251.9165625	6096.572375	5986.11875	4902.6641875	4577.5029375
