task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	dd/2da763	93913	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (R1-L1)	COMPLETED	0	2025-12-08 10:56:57.118	2.9s	2.5s	121.0%	1.2 GB	2.2 GB	21.2 MB	9 MB
16	52/fca421	94085	NFCORE_SAREK:SAREK:FASTQC (R1-L1)	COMPLETED	0	2025-12-08 10:56:58.108	6.7s	6s	266.6%	518.9 MB	7.4 GB	20.8 MB	4 MB
2	57/6ebb8c	94901	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-12-08 10:57:07.320	533ms	102ms	116.9%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
1	d7/9badd6	95067	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-12-08 10:57:07.958	737ms	0ms	118.5%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
74	af/3a4691	95312	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-12-08 10:57:08.907	573ms	98ms	71.6%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
69	88/b5ee01	95305	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-12-08 10:57:08.819	674ms	70ms	68.6%	1.7 MB	4.6 MB	137 KB	3.9 KB
72	41/d0a5f2	95373	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-12-08 10:57:08.946	581ms	68ms	88.3%	1.8 MB	4.6 MB	137.3 KB	3.8 KB
71	df/5b85a8	95350	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-12-08 10:57:08.936	589ms	90ms	66.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
75	96/9e8d49	95341	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-12-08 10:57:08.925	610ms	92ms	67.4%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
82	26/ab04b6	95401	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	COMPLETED	0	2025-12-08 10:57:08.955	585ms	79ms	64.6%	1.8 MB	4.6 MB	137.6 KB	3.9 KB
81	16/9ca572	95480	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	2025-12-08 10:57:08.985	587ms	82ms	74.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
